minimum utility,total runtime (ms),total itemSet count,high utility itemSet count,pruned itemSet count,maximum memory used (MB)
100000000,-1621273062391.5898,0,0,0,"[37.87109375, 38.0390625, 38.7890625, 39.5234375, 39.6484375, 39.76953125, 39.82421875, 39.078125, 39.078125, 39.078125, 39.078125, 39.078125, 39.08203125, 39.0859375]"
100000,2436583.0268859863,22,992,107170,50.875
